JURIS_NAME,YEAR,APN,STREET_ADDRESS,UNIT_CAT,TENURE,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,DR_TYPE,TERM_AFF_DR,DENSITY_BONUS_TOTAL,NOTES
SAN DIEGO,2023,4463611200,4015 IDAHO ST,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,
SAN DIEGO,2023,5334332800,1222 01ST AV [Pending],5+,Renter,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,
SAN DIEGO,2023,5303711000,3027 KEATS ST,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,55,40,
MONTEBELLO,2021,6349-005-901,112-132 S 6th St,5+,Renter,63,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,193,
SANTA CLARA,2020,097-46-024,2302/2310 Calle Del Mundo,5+,Renter,72,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,Units as result of City's Affordable Housing Ordinace
WEST HOLLYWOOD,2021,5530-001-004,1250 Fairfax Ave,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,DB,1000,35,49 Net New Units
WEST HOLLYWOOD,2021,5530-015-029,1041 Spaulding Ave,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,1000,35,12 Net New Units
MORENO VALLEY,2021,482161028,24580 COTTONWOOD AVE,5+,Renter,15,0,15,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,DB, HOME Investment Partnerships Program (HOME) funds,0,Development Standards Modification
GLENDALE,2021,5623005038,1407 W. Glenoaks,5+,Renter,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,DB,55,35,PDBP 1603450; privately funded
GLENDALE,2021,5637-023-806,515 PIONEER DR,5+,Renter,138,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,75,750,"""Funding Sources: Local Measure S"
WEST HOLLYWOOD,2021,5554-021-001,1216 Flores St,5+,Renter,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,DB,1000,55,14 Net New Units
SAN LUIS OBISPO,2021,053-421-006,600 Tank Farm Road,5+,Renter,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,,0,
SAN LUIS OBISPO,2021,004-712-080,3540 Ranch House Rd,5+,Owner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,INC,,0,
MORENO VALLEY,2021,482161028,24580 COTTONWOOD AVE,5+,Renter,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DB, HOME Investment Partnerships Program (HOME) funds,0,Development Standards Modification
WEST HOLLYWOOD,2021,5530-002-015,1150 Orange Grove Ave,5+,Renter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,1000,35,8 Net New Units
MORENO VALLEY,2021,482161028,24580 COTTONWOOD AVE,5+,Renter,15,0,15,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,DB, HOME Investment Partnerships Program (HOME) funds,0,Development Standards Modification
GLENDALE,2021,5674-010-900,900 E BROADWAY,5+,Renter,26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,75,324,"""Funding Sources: Local Measure S"
GLENDALE,2021,5674-010-024,920 E BROADWAY,5+,Renter,31,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,75,17,"""Funding Sources: Local Measure S"
WEST HOLLYWOOD,2021,5554-006-008,1300 Crescent Heights Blvd,5+,Renter,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,1000,35,37 Net New Units
SAN LUIS OBISPO,2021,001-114-038,1121 Montalban St,5+,Renter,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,INC,,0,Issued
SAN DIEGO,2023,3150205500,10198 1/3 PASEO MONTRIL,5+,Renter,0,0,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,
SAN DIEGO,2023,4456911100,3919 LOUISIANA ST,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,100,
SAN DIEGO,2023,4445110900,220 MONTECITO WY,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,90,
SAN DIEGO,2023,5354810400,421 25TH ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,DB,55,75,
SAN DIEGO,2023,4454011000,4234 MISSISSIPPI ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,DB,55,60.5,
GLENDALE,2021,5675030006,913 S ADAMS ST,5+,Renter,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,35,PDBP 1529626 4/14/17; Privately funded
SAN DIEGO,2023,4152411000,891 TURQUOISE ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DB,55,53,
REDDING,2023,104-680-031,"""3294 Piper Way REDDING",BLDC-2023-00985,5+,Renter,0,0,0,0,0,0,59,0,0,0,0,59,0,0,0,0,0,DB," IIG""",0,0
SAN DIEGO,2023,6782511300,11520 WEST BERNARDO CT Unit Bldg. C,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,DB,55,0,
SAN DIEGO,2023,6782511300,11520 WEST BERNARDO CT Unit Bldg. B,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,DB,55,0,
WEST HOLLYWOOD,2021,5531-008-016,1238 Formosa Ave,5+,Renter,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,1000,50,14 Net New Units
WEST HOLLYWOOD,2021,5530-001-001,1282 Fairfax Ave,5+,Renter,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,1000,42.5,Y
WEST HOLLYWOOD,2021,5530-024-020,939 - 949 Spaulding Ave,5+,Renter,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,DB,1000,35,14 Net New Units
SAN LUIS OBISPO,2021,004-847-031,2355 Victoria Ave,5+,Renter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,INC,,0,Issued
SAN DIEGO,2023,4317200200,2645 ULRIC ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,DB,55,50,
SAN DIEGO,2023,6380912800,429 W SAN YSIDRO BL,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,INC,55,0,
SAN LUIS OBISPO,2021,004-712-080,3530 Ranch House Rd,5+,Owner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,INC,,0,
SAN DIEGO,2023,4456500800,1661 HARVEY MILK ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DB,55,100,
REDDING,2023,071-270-048,"""1222 OLD ALTURAS RD A Redding",BLDR-2022-00753,2 to 4,Renter,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
SAN DIEGO,2023,4364030100,1351 BRUNNER ST,5+,Renter,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,DB,55,47,
LA MESA,2023,4692301900,7475 EL CAJON Blvd,5+,Renter,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,55,20,
LA MESA,2023,4691300300,7365 COLONY DR,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,55,17.199999999999999,
SAN DIEGO,2023,4613201200,4520 ALVARADO CANYON RD,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,INC,55,0,
SAN DIEGO,2023,4413700100,3910 CHAPMAN ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,55,100,
SAN DIEGO,2023,3194601700,10380 SPRING CANYON RD,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,DB,55,35,
LAGUNA NIGUEL,2023,63604313,25887 Crown Valley Pkwy,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,DB,30,144,N
SAN DIEGO,2023,4456413200,3935 NORMAL ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,DB,55,100,
SAN DIEGO,2023,4530420100,2441 UNIVERSITY AV,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,DB,55,50,
REDDING,2023,071-270-048,"""1220 OLD ALTURAS RD A Redding",BLDR-2022-00752,2 to 4,Renter,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
VENTURA,2023,073-0-111-010,102 S Garden St,5+,Renter,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,INC,55,0,
SAN DIEGO,2023,6461007100,2440 CACTUS RD Unit Bldg. B,5+,Renter,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,DB,55,0,
SAN DIEGO,2023,6461008400,2250 SISAL LN,5+,Renter,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,DB,55,0,
SAN DIEGO,2023,4666920400,5472 EL CAJON BL,5+,Renter,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,DB,55,100,
REDDING,2023,071-270-048,"""1210 OLD ALTURAS RD A Redding",BLDR-2022-00745,2 to 4,Renter,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
VENTURA,2023,083-0-050-490,915 Goodman Ave,5+,Renter,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,
SAN DIEGO,2023,5313420300,1357 ROSECRANS ST,5+,Renter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,
SAN DIEGO,2023,4671713300,6251 MONTEZUMA RD,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,19,
SAN DIEGO,2023,4365711100,5650 GAINES ST,5+,Renter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,55,100,
SAN DIEGO,2021,4531540100,3793 RAY ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DB,55,0,"""columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
TWENTYNINE PALMS,2023,0618-322-04,73449 Desert Trail Drive,5+,Renter,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,DB,"000""",0,N
REDDING,2023,117-550-001-000,"""690 MILL VALLEY PKWY Redding",BLDR-2022-01528,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
SAN DIEGO,2023,6782511300,11520 WEST BERNARDO CT Unit Bldg. D,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,DB,55,0,
SAN DIEGO,2023,4320600700,2238 WEST DUNLOP ST,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,55,43,
SANTA ANA,2023,402-191-14,2112 E First St,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,56,0,491,0,0,0,DB,55,55,
SAN DIEGO,2023,4521032700,701 ROBINSON AV,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,55,100,
SAN DIEGO,2023,4413700100,3910 CHAPMAN ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DB,55,100,
SAN DIEGO,2023,5334220100,191 W BEECH ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,INC,55,0,
SAN DIEGO,2023,6782511300,11520 WEST BERNARDO CT Unit Bldg. A,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,DB,55,0,
REDDING,2023,071-270-048,"""1216 OLD ALTURAS RD A Redding",BLDR-2022-00750,2 to 4,Renter,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
REDDING,2023,071-270-048,"""1224 OLD ALTURAS RD A Redding",BLDR-2022-00754,2 to 4,Renter,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
LA MESA,2023,4692301500,7475 EL CAJON Blvd,5+,Renter,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,55,20,
LA MESA,2023,4691304700,7385 COLONY DR,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,17.199999999999999,
LA MESA,2023,4691300300,7375 COLONY DR,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,17.199999999999999,
LA MESA,2023,4990306700,4210 SPRING ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,DB,55,35,
LA MESA,2020,4943001100,8585 La Mesa Blvd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,DB,55,0,
GLENDALE,2023,5637-004-030,352 W. Milford St.,5+,Renter,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,DB,55,33.299999999999997,PDBP 1605456; privately funded
SAN DIEGO,2021,3576130100,5385 LA JOLLA BL,5+,Renter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,55,0,"""Privately Financed; columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,5334220100,1475 Front Street,5+,Renter,0,0,0,0,0,0,32,0,45,0,0,0,0,0,0,0,0,0,INC,55,0,"""PBV; SDHC Loan"
SAN DIEGO,2021,5331061300,2426 4th Avenue,5+,Renter,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SANTA ANA,2023,398-236-05,301 E Santa Ana Blvd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,INC,55,0,
PORTERVILLE,2021,260-242-012,358 S E ST,5+,Renter,0,0,0,0,0,0,63,0,15,0,2,0,0,0,0,0,0,0,DB,30,0,Unit count was within allowed density; concessions granted due to 100% affordability ratio
REDDING,2023,071-270-048,"""1218 OLD ALTURAS RD A Redding",BLDR-2022-00751,2 to 4,Renter,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,DB,The City reviewed the valuation and square footage of the dwelling and weighted against the average home prices/rent for like homes.,0,
SAN DIEGO,2021,5332050300,2001 04TH AV,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DB,55,0,"""columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,5395312900,1144 30TH ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,DB,55,0,"""columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
EL MONTE,2023,8567-010-015,11730 Ramona,5+,Renter,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,DB,,144,
LA MESA,2020,4702301600,4999 Baltimore Dr,5+,Renter,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,DB,55,20,
SAN DIEGO,2021,4363621400,5526 LAURETTA ST,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,DB,55,0,"""columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
LA MESA,2023,4948402500,8875 LA MESA Blvd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
TWENTYNINE PALMS,2023,0618-282-14,73476 El Paseo Drive,5+,Renter,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,DB,"000""",0,N
SAN DIEGO,2021,4453232700,4364 ALABAMA ST,5+,Renter,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,DB,55,0,"""Privately Financed; columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,4456500800,1661 HARVEY MILK ST,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Privately Financed; columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,4454011000,4234 MISSISSIPPI ST,5+,Renter,0,0,0,0,0,0,54,0,6,0,0,0,0,0,0,0,0,0,DB,55,0,"""Tax Bonds; Columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,4613201200,4520 ALVARADO CANYON RD,5+,Renter,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,INC,55,0,2% under inclusionary
SAN DIEGO,2021,6461021600,7217 COLCHESTER CT,5+,Renter,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,INC,55,0,2% under inclusionary; placed offsite at Epoca Neighborhood L; Project ID 668987; Columns AS through AV added by HCD for upload of revised form
BURBANK,2021,1/19/63,2311 N. HOLLYWOOD WAY,5+,Renter,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,Project was submitted pursuant to SB 330
MILPITAS,2023,8636013,355 Sango Ct,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,93,0,8,0,0,0,DB,55,36," Development Standards Modification"""
SAN DIEGO,2021,5341622500,2654 B ST,5+,Renter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Privately Financed; columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,3130601000,14423 PENASQUITOS DR,5+,Renter,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,3130601000,14403 PENASQUITOS DR,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,4456921800,3918 ARIZONA ST,5+,Renter,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Privately Financed; columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
SAN DIEGO,2021,4413700100,3910 CHAPMAN ST,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,"""Property also has 24 SRO units; Columns AS through AV added by HCD for upload of revised form. \0.0%\\"""" should be considered \\""""N/A\\"""""""""""
MOUNTAIN VIEW,2023,153-15-032,1001 N SHORELINE BLVD,5+,Renter,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,INC,1000,0,
PLEASANTON,2023,941 120109403,1008 Stoneridge Mall Road,5+,Renter,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,,50,The 58 affordable units are deed restricted in perpetuity.
GLENDALE,2022,5675-025-006,518 E Windsor Rd,5+,Owner,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,DB,55,78.900000000000006,
GLENDALE,2022,5623005038,1407 W. Glenoaks,5+,Renter,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,DB,55,35,PDBP 1603450; privately funded
SANTA ANA,2023,398-523-04,1411 N Broadway,5+,Renter,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,INC,55,0,
LA MESA,2023,4948400900,8940 DAILEY Rd,5+,Renter,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
LA MESA,2023,4948402500,8875 LA MESA Blvd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
LA MESA,2023,4948402500,8875 LA MESA Blvd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
LA MESA,2023,4948402500,8875 LA MESA Blvd,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
MILLBRAE,2023,21276330,1301 Broadway,5+,Renter,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,,46,
LAFAYETTE,2023,241-020-024,100 Woodbury Highlands Pl,5+,Owner,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,INC,,0,
LA MESA,2020,4946410900,4400 Palm Ave,5+,Renter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
MOUNTAIN VIEW,2023,189-33-028,918 Rich Ave,5+,Owner,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,1000,27.5,
CUDAHY,2023,6226-014-015,4936 Live Oak,5+,Renter,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,DB,55,50,"""Waivers for Floor Area"
GLENDALE,2023,5675030006,913 S ADAMS ST,5+,Renter,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,35,PDBP 1529626 4/14/17; Privately funded
SAN LUIS OBISPO,2020,004-961-087,1241 Laurel,5+,Renter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
SAN LUIS OBISPO,2020,004-705-021,3550 Ranch House,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,INC,55,0,
SAN LUIS OBISPO,2020,052-162-007,53 Palomar,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,DB,55,0,
PALMDALE,2023,3018-014-074,38533 25th Street East,5+,Renter,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,DB,55,0,
PALMDALE,2023,3008-040-012,38732 9th Street East,5+,Renter,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,5,Building Permits applied for in 2022 not yet approved. Grading permit #EN22-00262 approved 4/25/2023.
SUNNYVALE,2023,20522040,1040 INDIAN WELLS AV Unit: 100,5+,Renter,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,134,INC,55,0,Affordability based on the City's rent analysis for recent rental projects. Half of non deed-restricted units have rents affordable to Moderate-income households
SANTA MONICA,2020,4291005014,1235  5TH ST,5+,Renter,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,INC,55,0,
SANTA MONICA,2020,4291019027,501 Broadway,5+,Renter,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INC,,0,
BURLINGAME,2020,29231210,"""128 Lorton Avenue""",5+,Owner,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,55,0,
